NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
6407814951,875459,Consumption,12/01/2018,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.019,0.006,0.019,0.05,0.119,0.069,0.119,0.106,0.2,0.138,0.1,0.044,0.006,0.006,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006
6407814951,875459,Consumption,13/01/2018,No,0.006,0,0.006,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0.006,0.006,0.013,0.006,0.006,0.006,0.006,0.006,0.006,0.013,0.044,0.056,0.025,0.031,0.056,0.119,0.119,0.125,0.119,0.05,0.006,0.006,0.006
6407814951,875459,Consumption,14/01/2018,No,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0,0.044,0.225,0.369,0.431,0.294,0.056,0.069,0.212,0.181,0.025,0.05,0.069,0.119,0.131,0.1,0.019,0.025,0.025,0.025
6407814951,875459,Consumption,15/01/2018,No,0.025,0.025,0.031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.031,0.019,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
6407814951,875459,Consumption,16/01/2018,No,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
6407814951,875459,Consumption,17/01/2018,No,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.019,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
6407814951,875459,Consumption,18/01/2018,No,0.019,0.031,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.019,0.025,0.025,0.025,0.025,0.025,0.019,0.025,0.025,0.025,0.025
6407814951,875459,Consumption,19/01/2018,No,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.013,0.219,0.569,0.575,0.625,0.625,0.669,0.706,0.713,0.756,0.85,1.056,0.925,1,0.787,0.656,0.138,0.031,0.031,0.056,0.119,0.294,0.2,0.194,0.2,0.225,0.219
6407814951,875459,Consumption,20/01/2018,No,0.081,0.05,0.05,0.044,0.05,0.056,0.044,0.05,0.05,0.05,0.044,0.05,0.044,0.05,0.044,0.044,0.05,0.044,0.044,0.044,0.094,0.087,0.063,0.094,0.069,0.325,0.188,0.125,0.438,0.163,0.194,0.463,0.225,0.188,0.138,0.063,0.056,0.069,0.087,0.063,0.063,0.144,0.2,0.188,0.194,0.212,0.175,0.119
6407814951,875459,Consumption,21/01/2018,No,0.05,0.05,0.044,0.05,0.044,0.044,0.044,0.044,0.037,0.044,0.113,0.069,0.069,0.031,0.056,0.044,0.044,0.037,0.05,0.063,0.125,0.1,0.1,0.081,0.281,0.069,0.069,0.1,0.075,0.037,0.031,0.031,0.037,0.031,0.037,0.025,0.031,0.025,0.037,0.031,0.044,0.087,0.131,0.15,0.188,0.194,0.194,0.188
6407814951,875459,Consumption,22/01/2018,No,0.094,0.056,0.044,0.05,0.05,0.044,0.037,0.05,0.037,0.044,0.05,0.05,0.044,0.044,0.044,0.044,0.075,0.05,0.056,0.063,0.063,0.063,0.056,0.081,0.081,0.063,0.2,0.2,0.694,0.263,0.212,0.188,0.069,0.031,0.044,0.044,0.031,0.025,0.031,0.031,0.087,0.075,0.106,0.212,0.237,0.256,0.263,0.169
6407814951,875459,Consumption,23/01/2018,No,0.081,0.081,0.05,0.044,0.044,0.037,0.044,0.044,0.037,0.044,0.044,0.05,0.044,0.037,0.044,0.044,0.044,0.044,0.037,0.05,0.106,0.05,0.069,0.106,0.094,0.15,0.163,0.438,0.45,0.156,0.163,0.219,0.212,0.2,0.125,0.044,0.037,0.044,0.044,0.044,0.031,0.031,0.031,0.031,0.119,0.163,0.156,0.225
6407814951,875459,Consumption,24/01/2018,No,0.225,0.056,0.044,0.05,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.063,0.138,0.069,0.087,0.063,0.063,0.05,0.063,0.056,0.087,0.113,0.044,0.05,0.081,0.075,0.094,0.094,0.113,0.094,0.263,0.169,0.113,0.081,0.075,0.231,0.081,0.106,0.119,0.119,0.106,0.106,0.144
6407814951,875459,Consumption,25/01/2018,No,0.05,0.056,0.044,0.05,0.044,0.044,0.05,0.044,0.044,0.044,0.037,0.044,0.037,0.044,0.044,0.044,0.075,0.175,0.125,0.113,0.119,0.119,0.144,0.138,0.131,0.125,0.119,0.125,0.131,0.125,0.125,0.131,0.131,0.138,0.156,0.144,0.119,0.225,0.244,0.419,0.494,0.081,0.169,0.188,0.194,0.163,0.175,0.125
6407814951,875459,Consumption,26/01/2018,No,0.081,0.094,0.056,0.05,0.05,0.044,0.044,0.044,0.05,0.044,0.05,0.044,0.05,0.044,0.044,0.044,0.044,0.037,0.113,0.1,0.131,0.138,0.15,0.044,0.037,0.05,0.05,0.094,0.087,0.087,0.094,0.081,0.094,0.063,0.031,0.025,0.031,0.037,0.037,0.037,0.031,0.031,0.031,0.069,0.212,0.319,0.212,0.206
6407814951,875459,Consumption,27/01/2018,No,0.087,0.05,0.05,0.044,0.044,0.131,0.075,0.075,0.044,0.044,0.044,0.044,0.05,0.05,0.044,0.05,0.05,0.037,0.075,0.113,0.087,0.106,0.156,0.156,0.219,0.212,0.15,0.138,0.125,0.125,0.081,0.069,0.081,0.694,0.844,0.988,0.881,0.831,0.144,0.194,0.119,0.119,0.1,0.113,0.138,0.125,0.119,0.113
6407814951,875459,Consumption,28/01/2018,No,0.087,0.075,0.05,0.056,0.05,0.056,0.05,0.044,0.044,0.044,0.063,0.05,0.044,0.044,0.044,0.037,0.05,0.056,0.044,0.044,0.131,0.131,0.138,0.094,0.063,0.144,0.125,0.669,1.006,0.563,0.537,0.331,0.863,0.931,0.931,0.981,0.969,0.931,0.887,0.269,0.113,0.1,0.194,0.219,0.237,0.194,0.131,0.131
6407814951,875459,Consumption,29/01/2018,No,0.106,0.05,0.056,0.056,0.05,0.05,0.05,0.044,0.063,0.056,0.044,0.05,0.05,0.05,0.056,0.056,0.056,0.044,0.05,0.056,0.069,0.063,0.075,0.075,0.094,0.169,0.188,0.131,0.131,0.094,0.113,0.056,0.031,0.044,0.037,0.031,0.025,0.031,0.05,0.119,0.144,0.163,0.231,0.15,0.138,0.163,0.075,0.063
6407814951,875459,Consumption,30/01/2018,No,0.05,0.069,0.044,0.05,0.044,0.044,0.044,0.05,0.05,0.044,0.05,0.05,0.044,0.05,0.044,0.044,0.044,0.044,0.044,0.05,0.05,0.056,0.069,0.094,0.313,0.087,0.069,0.106,0.113,0.1,0.144,0.138,0.125,0.081,0.075,0.094,0.081,0.156,0.119,0.1,0.037,0.144,0.175,0.237,0.237,0.206,0.094,0.069
6407814951,875459,Consumption,31/01/2018,No,0.056,0.05,0.05,0.044,0.037,0.044,0.044,0.044,0.05,0.044,0.044,0.044,0.044,0.037,0.037,0.044,0.075,0.063,0.063,0.063,0.05,0.063,0.044,0.113,0.125,0.375,0.106,0.313,0.2,0.075,0.094,0.05,0.025,0.044,0.031,0.031,0.031,0.031,0.025,0.031,0.025,0.119,0.194,0.188,0.212,0.119,0.113,0.056
6407814951,875459,Consumption,1/02/2018,No,0.031,0.025,0.025,0.025,0.031,0.031,0.025,0.031,0.031,0.025,0.031,0.025,0.025,0.025,0.025,0.025,0.031,0.025,0.031,0.037,0.087,0.05,0.063,0.094,0.163,0.156,0.094,0.119,0.163,0.119,0.094,0.106,0.113,0.119,0.106,0.1,0.094,0.1,0.1,0.081,0.044,0.037,0.081,0.15,0.156,0.194,0.2,0.113
6407814951,875459,Consumption,2/02/2018,No,0.075,0.063,0.031,0.031,0.025,0.031,0.025,0.031,0.025,0.031,0.025,0.025,0.025,0.031,0.025,0.025,0.025,0.025,0.025,0.025,0.037,0.044,0.081,0.087,0.05,0.05,0.144,0.044,0.163,0.075,0.113,0.094,0.106,0.1,0.131,0.131,0.163,0.25,0.338,0.306,0.625,0.087,0.069,0.069,0.119,0.119,0.138,0.144
6407814951,875459,Consumption,3/02/2018,No,0.056,0.056,0.044,0.05,0.044,0.044,0.044,0.037,0.037,0.037,0.037,0.044,0.037,0.031,0.025,0.031,0.031,0.025,0.031,0.069,0.1,0.106,0.169,0.056,0.031,0.031,0.031,0.031,0.056,0.056,0.037,0.031,0.031,0.025,0.037,0.044,0.075,0.063,0.194,0.287,0.156,0.175,0.181,0.194,0.169,0.194,0.163,0.2
